link_id,road_order,weekday,ref_period_volume,assignment_period_volume,qdf,demand,D/C,cd_speed,cd_travel_time,average_discharge_rate,cd_waiting_time,queue_demand,Gamma,Congestion_duration,v_t2,t0,t3,Queue_max
78,78,0,17143.166666666668,17143.166666666668,0.2844689506241793,4876.698632042077,3.0736642021003817,21.250223019280103,0.04894066283711088,1103.9885220658746,0.027601858015361712,4876.698632042077,9.603702141150784,4.417345411269672,14.228587172630144,15.392517770555639,19.80986318182531,57.0
78,78,1,17048.9375,17048.9375,0.29826229604109483,5085.055243811124,3.2049862925526416,19.97972754410362,0.05205276186596062,1094.0445028371466,0.030713957044211447,5085.055243811124,8.63991079202951,4.647941862167609,13.176653750697843,15.441654068916195,20.089595931083803,63.0
78,78,2,16833.73469387755,16833.73469387755,0.32226089605802055,5424.854426451968,3.4191534294603385,18.06526273112774,0.057569049256505175,1078.8459800371645,0.03623024443475601,5424.854426451968,7.336643122015373,5.028386374730793,11.649983443076247,15.016419057532563,20.044805432263356,73.0
78,78,3,16788.057291666668,16788.057291666668,0.3252667548613514,5460.596915686865,3.4416810486438223,17.875027754152708,0.05818172784422045,1077.3148330812269,0.03684292302247128,5460.596915686865,7.215859100893634,5.068710415941289,11.501971005155415,15.002103125362687,20.070813541303977,74.0
78,78,4,17337.571428571428,17337.571428571428,0.3533731846566174,6126.632829925865,3.8614672403635226,14.695870106905987,0.0707681812940954,1050.8315407247808,0.049429376472346236,6126.632829925865,5.394416329827414,5.830271163825361,9.12129594626022,14.275340608563509,20.10561177238887,97.0
78,78,5,17593.570652173912,17593.570652173912,0.10984055605394043,1932.4875834090699,1.217999789263312,43.45048358303336,0.023935291721496547,1348.6740767912345,0.00259648689974738,1932.4875834090699,99.68632427595269,1.4328796086945221,39.68372413938352,16.278125413044044,17.711005021738565,7.0
78,78,6,15705.43,15705.43,0.07053952705127602,1107.853604336922,0.6982531055835184,47.34603168578643,0.021965938072740623,1521.1261077751453,0.0006271332509914518,1107.853604336922,406.85314362785886,0.7283114783673716,46.19208513580566,15.995844260816314,16.724155739183686,2.0
84,84,0,18623.54651162791,18623.54651162791,0.2720923245711137,5067.324062107094,2.789570049905953,20.385656822289324,0.055921671297514616,1153.9738481004715,0.032656365175065635,5067.324062107094,12.162257891311114,4.391194887516986,13.491764388580924,15.176495579497322,19.56769046701431,71.0
84,84,1,18210.271276595744,18210.271276595744,0.29125516842349647,5303.835627702453,2.9197700473315837,19.378115811714512,0.05882924898770829,1146.6939044979217,0.03556394286525931,5303.835627702453,10.692233744789798,4.6253281777273685,12.674031828938455,15.197974209008656,19.823302386736025,76.0
84,84,2,18056.87,18056.87,0.3060035954131913,5525.467141908591,3.041778552524296,18.4889984515583,0.06165828846742739,1140.1999133589347,0.038392982344978406,5525.467141908591,9.524936980546153,4.846051185560102,11.968234036771648,15.016974407219951,19.86302559278005,82.0
84,84,3,17801.854166666668,17801.854166666668,0.309267888251709,5505.541845089887,3.030809644564257,18.566825868623717,0.061399832586705005,1140.7715039383297,0.03813452646425602,5505.541845089887,9.622604876012174,4.8261565318583886,12.029434983638872,14.696296734070806,19.522453265929194,82.0
84,84,4,19088.853658536584,19088.853658536584,0.3571426217222218,6817.44324128158,3.7530134741185095,14.2262454822291,0.08013358137423157,1107.4430449060198,0.05686827525178259,6817.44324128158,5.262258510236626,6.156021542272745,8.77643269507889,13.946379472766065,20.10240101503881,118.0
84,84,5,18847.114130434784,18847.114130434784,0.10342232537632871,1949.2123700026289,1.0730445461197777,39.6691414372727,0.028737702876747116,1317.523557168668,0.005472396754298137,1949.2123700026289,180.59849750440898,1.4794516268016091,34.003409251913155,16.124404621381803,17.603856248183416,14.0
84,84,6,16655.975,16655.975,0.07751961939660915,1291.164842679437,0.7107883234790379,44.1880623290317,0.025798823028522256,1395.0004085827434,0.0025335169060732745,1291.164842679437,577.8963593470108,0.9255659243793352,40.69154158209171,16.477217037810334,17.40278296218967,7.0
137,37,0,12814.066666666668,12814.066666666668,0.227603045563448,2916.5205993863938,2.1124459621451632,23.83155855414556,0.054549516643923476,787.1875340810905,0.02801890439902551,2916.5205993863938,14.046342134700275,3.7049882945503487,16.44194782183184,15.69195029716927,19.396938591719618,41.0
137,37,1,12526.130434782608,12526.130434782608,0.22890353294296698,2867.275510626162,2.0767775739537964,24.195591138629673,0.05372879681060878,787.4434328335293,0.027198184565710812,2867.275510626162,14.619761503410343,3.6412463309378094,16.768306616633343,16.07068118235718,19.71192751329499,40.0
137,37,2,12420.131944444443,12420.131944444443,0.2542536879621485,3157.86435185149,2.2872520771752156,22.138463223762525,0.05872132978971336,785.9939030533016,0.032190717544815395,3157.86435185149,11.652896978966519,4.0176702892787475,14.961754135438994,15.579706522027294,19.59737681130604,47.0
137,37,3,12404.059259259258,12404.059259259258,0.25921158739156025,3215.2758906915733,2.328835453417711,21.757336806519344,0.05974995982093128,785.723656041146,0.03321934757603331,3215.2758906915733,11.169880132265776,4.092120513326124,14.636855843176653,15.631717521114716,19.72383803444084,49.0
137,37,4,13220.93023255814,13220.93023255814,0.27567122158064317,3644.629987641759,2.6398181115287915,19.15266185333576,0.06787568276174535,783.8461778840862,0.04134507051684738,3644.629987641759,8.320423489519143,4.649675013380904,12.49367874347399,15.053069470053734,19.702744483434635,61.0
137,37,5,12937.127659574466,12937.127659574466,0.07748185588793148,1002.392660922921,0.726036472876643,42.10831915434872,0.030872759257733112,803.3986527995235,0.0043421470128351515,1002.392660922921,172.7387418016674,1.247690243728917,37.49408253900372,15.147431473880221,16.39512171760914,7.0
137,37,6,11766.777777777777,11766.777777777777,0.0654334173711869,769.9404814473403,0.5576705549303259,44.41391611295377,0.02927010526821889,807.454496662361,0.002739493023320927,769.9404814473403,321.0798968723562,0.9535403971739757,41.05198987547022,13.248719997491444,14.202260394665418,4.0
139,139,0,17370.93023255814,17370.93023255814,0.22169436298914025,3851.0373124357748,2.2531051407733376,27.8875438977765,0.03980271636931431,1140.9929508644486,0.01714965514482451,3851.0373124357748,18.094247985590066,3.3751631064136896,20.252272294442626,14.812418446793155,18.187581553206844,37.0
139,139,1,16920.567441860465,16920.567441860465,0.2771453869221685,4689.457210617065,2.743634842113495,24.992312478369676,0.04441365723802797,1128.3443684463996,0.021760596013538164,4689.457210617065,9.875749171278875,4.156051416354307,17.492937768140397,14.637090570892614,18.793141987246923,46.0
139,139,2,17334.948837209304,17334.948837209304,0.3020071252146451,5235.278064068537,3.062975235643715,23.362673426786913,0.04751168582989773,1121.335359128631,0.024858624605407935,5235.278064068537,7.040068955081562,4.66878888768546,16.025876480984017,14.956303230575877,19.625092118261335,52.0
139,139,3,17225.18604651163,17225.18604651163,0.3165424762933493,5452.503045776439,3.1900658565031903,22.76271647327876,0.04876395140725112,1118.758351196399,0.026110890182761325,5452.503045776439,6.212990763038899,4.873709358187617,15.50041620829341,14.539889506952704,19.413598865140322,55.0
139,139,4,17740.627906976744,17740.627906976744,0.3685086831119117,6537.57542757843,3.824903164792711,20.119665953514424,0.05516990205327488,1107.326092202018,0.03251684082878508,6537.57542757843,3.556316525963649,5.903929721892375,13.2739969281902,13.85036072044916,19.754290442341535,68.0
139,139,5,16589.35384615385,16589.35384615385,0.17386974903643246,2884.3867899073452,1.687552255942295,31.946712942793468,0.03474535868487195,1159.8099653940112,0.012092297460382146,2884.3867899073452,43.99570247541726,2.4869477552104495,24.489191340500433,15.365500481369132,17.852448236579583,26.0
139,139,6,13762.021739130434,13762.021739130434,0.0809469631509825,1113.9938666004114,0.6517582417397608,41.915999154330855,0.02648153503184028,1223.9669056526825,0.0038284738073504788,1113.9938666004114,819.4531021512781,0.9101503165286745,37.20905334436593,16.403620493909578,17.31377081043825,9.0
